FIRSTBOXNUM_BATTERYNUM,VOLTAGEVALUE,TEMPREATUREVALUE,RECEIVETIME,
6_5,3.254,0,2015-12-01 15:13:41.0,
6_6,3.253,0,2015-12-01 15:13:41.0,
6_7,3.251,0,2015-12-01 15:13:41.0,
6_8,3.24,0,2015-12-01 15:13:41.0,
6_9,3.252,0,2015-12-01 15:13:41.0,
6_10,3.252,0,2015-12-01 15:13:41.0,
6_11,3.251,0,2015-12-01 15:13:41.0,
6_12,3.25,0,2015-12-01 15:13:41.0,
6_13,3.25,0,2015-12-01 15:13:41.0,
6_14,3.249,0,2015-12-01 15:13:41.0,
6_15,3.252,0,2015-12-01 15:13:41.0,
6_16,3.25,0,2015-12-01 15:13:41.0,
6_17,3.239,0,2015-12-01 15:13:41.0,
6_18,3.25,0,2015-12-01 15:13:41.0,
6_19,3.25,0,2015-12-01 15:13:41.0,
6_20,3.251,0,2015-12-01 15:13:41.0,
